topic_id,topic_name
T10022,Semiconductor Quantum Structures and Devices
T10024,TiO2 Photocatalysis and Solar Cells
T10040,Adaptive Control of Nonlinear Systems
T10078,Advanced Photocatalysis Techniques
T10090,ZnO doping and properties
T10099,GaN-based semiconductor devices and materials
T10107,Ferroelectric and Piezoelectric Materials
T10191,Robotics and Sensor-Based Localization
T10205,Advanced Fiber Optic Sensors
T10245,Metamaterials and Metasurfaces Applications
T10247,Perovskite Materials and Applications
T10249,Distributed Control Multi-Agent Systems
T10275,2D Materials and Applications
T10299,Photonic and Optical Devices
T10321,Quantum Dots Synthesis And Properties
T10361,Silicon Carbide Semiconductor Technologies
T10382,Quantum and electron transport phenomena
T10461,Gas Sensing Nanomaterials and Sensors
T10462,Reinforcement Learning in Robotics
T10472,Semiconductor materials and devices
T10478,Diamond and Carbon-based Materials Research
T10510,Stroke Rehabilitation and Recovery
T10533,Teaching and Learning Programming
T10558,Advancements in Semiconductor Devices and Circuit Design
T10571,Robotic Mechanisms and Dynamics
T10586,Robotic Path Planning Algorithms
T10590,Chalcogenide Semiconductor Thin Films
T10607,Magnetic and transport properties of perovskites and related materials
T10612,Magnetism in coordination complexes
T10616,Smart Agriculture and AI
T10623,Thin-Film Transistor Technologies
T10653,Robot Manipulation and Learning
T10657,Topological Materials and Phenomena
T10666,Photonic Crystals and Applications
T10668,Endometrial and Cervical Cancer Treatments
T10682,Quantum Computing Algorithms and Architecture
T10709,Social Robot Interaction and HRI
T10732,Laser Material Processing Techniques
T10763,Digital Transformation in Industry
T10767,Advanced Photonic Communication Systems
T10776,Spinal Fractures and Fixation Techniques
T10781,Plasma Diagnostics and Applications
T10846,Photonic Crystal and Fiber Optics
T10868,Soft Robotics and Applications
T10879,Robotic Locomotion and Control
T10886,Multiferroics and related materials
T10906,AI-based Problem Solving and Planning
T10916,Surgical Simulation and Training
T10988,Advanced Fiber Laser Technologies
T11023,Prosthetics and Rehabilitation Robotics
T11050,Photorefractive and Nonlinear Optics
T11170,Biomimetic flight and propulsion mechanisms
T11174,Pediatric Urology and Nephrology Studies
T11192,Underwater Vehicles and Communication Systems
T11216,Radiation Detection and Scintillator Technologies
T11262,Quantum Mechanics and Non-Hermitian Physics
T11272,Nanowire Synthesis and Applications
T11315,Phase-change materials and chalcogenides
T11414,Quantum optics and atomic interactions
T11429,Semiconductor Lasers and Optical Devices
T11486,Micro and Nano Robotics
T11527,3D IC and TSV technologies
T11575,Nonlinear Photonic Systems
T11615,Control and Dynamics of Mobile Robots
T11637,Advanced Semiconductor Detectors and Materials
T11687,Teleoperation and Haptic Systems
T11701,Space Satellite Systems and Control
T11723,Optical Coatings and Gratings
T11728,Thyroid and Parathyroid Surgery
T11737,Advanced Materials and Mechanics
T11749,Iterative Learning Control Systems
T11788,Nonlinear Optical Materials Studies
T11797,graph theory and CDMA systems
T11814,Advanced Manufacturing and Logistics Optimization
T11853,Semiconductor materials and interfaces
T11887,Quasicrystal Structures and Properties
T11920,Pulsed Power Technology Applications
T12053,Minimally Invasive Surgical Techniques
T12111,Industrial Vision Systems and Defect Detection
T12128,AI in Service Interactions
T12155,Microwave Dielectric Ceramics Synthesis
T12288,Optimization and Search Problems
T12309,solar cell performance optimization
T12321,Insect Pheromone Research and Control
T12442,Thermal Radiation and Cooling Technologies
T12466,Near-Field Optical Microscopy
T12510,Magneto-Optical Properties and Applications
T12529,Ga2O3 and related materials
T12557,Inorganic Chemistry and Materials
T12579,Muon and positron interactions and applications
T12588,Electronic and Structural Properties of Oxides
T12611,Neural Networks and Reservoir Computing
T12612,Strong Light-Matter Interactions
T12634,Ureteral procedures and complications
T12698,3D Modeling in Geospatial Applications
T12699,Electromagnetic Launch and Propulsion Technology
T12782,Assembly Line Balancing Optimization
T12784,Modular Robots and Swarm Intelligence
T12794,Adaptive Dynamic Programming Control
T12875,Thermal Expansion and Ionic Conductivity
T12899,Engineering and Technology Innovations
T13027,Applied Advanced Technologies
T13067,Geological Modeling and Analysis
T13093,Electric Power Systems and Control
T13126,Scientific Research and Discoveries
T13182,Quantum-Dot Cellular Automata
T13249,Dielectric properties of ceramics
T13287,Robotic Process Automation Applications
T13312,Mechanical and Thermal Properties Analysis
T13364,"Digitalization, Law, and Regulation"
T13382,Robotics and Automated Systems
T13612,Advanced Scientific and Engineering Studies
T13713,Diverse Perspectives in Modern Studies
T13715,Power Line Inspection Robots
T13717,Advanced Algorithms and Applications
T13757,Graphic Design and Typography
T13827,Mechatronics Education and Applications
T13889,Advanced Materials and Semiconductor Technologies
T13904,Artificial Intelligence Applications
T13964,Educational Technology and Optimization
T14117,Integrated Circuits and Semiconductor Failure Analysis
T14158,Optical Systems and Laser Technology
T14163,Astronomical Observations and Instrumentation
T14260,Impact of AI and Big Data on Business and Society
T14311,Electrical and Electromagnetic Research
T14327,Advanced Energy Technologies and Civil Engineering Innovations
T14335,Educational Robotics and Engineering
T14359,Wetland Management and Conservation
T14363,Optical properties and cooling technologies in crystalline materials
T14381,"Psychiatry, Mental Health, Neuroscience"
T14504,Diverse Academic Research Analysis
